variavel,descricao-pt,descricao-en,tipo,subtipo
SiteEUI(kBtu/sf),"A Intensidade de Uso de Energia do Local (EUI) é o Uso de Energia do Local de uma propriedade dividido por sua área bruta de piso. O Uso de Energia do Local é a quantidade anual de toda a energia consumida pela propriedade no local, conforme relatado nas contas de serviços públicos. O EUI do Local é medido em milhares de unidades térmicas britânicas (kBtu) por pé quadrado.","Site Energy Use Intensity (EUI) is a property's Site Energy Use divided by its gross floor area. Site Energy Use is the annual amount of all the energy consumed by the property on-site, as reported on utility bills. Site EUI is measured in thousands of British thermal units (kBtu) per square foot.",,
SiteEnergyUse(kBtu),A quantidade anual de energia consumida pela propriedade de todas as fontes de energia.,The annual amount of energy consumed by the property from all sources of energy.,,
SiteEnergyUseWN(kBtu),"A quantidade anual de energia consumida pela propriedade de todas as fontes de energia, ajustada ao que a propriedade teria consumido durante as condições climáticas médias de 30 anos.","The annual amount of energy consumed by the property from all sources of energy, adjusted to what the property would have consumed during 30-year average weather conditions.",,
SourceEUIWN(kBtu/sf),A Intensidade de Uso de Energia de Fonte (EUI) Normalizada pelo Clima (WN) é a Energia de Fonte WN de uma propriedade dividida por sua área bruta de piso. A Energia de Fonte WN é o Uso de Energia de Fonte que a propriedade teria consumido durante as condições climáticas médias de 30 anos. A EUI de Fonte WN é medida em milhares de unidades térmicas britânicas (kBtu) por pé quadrado.,Weather Normalized (WN) Source Energy Use Intensity (EUI) is a property's WN Source Energy divided by its gross floor area. WN Source Energy is the Source Energy Use the property would have consumed during 30-year average weather conditions. WN Source EUI is measured in measured in thousands of British thermal units (kBtu) per square foot.,,
SourceEUI(kBtu/sf),"Intensidade de Uso de Energia de Fonte (EUI) é o Uso de Energia de Fonte de uma propriedade dividido por sua área bruta de piso. Uso de Energia de Fonte é a energia anual usada para operar a propriedade, incluindo perdas de geração, transmissão e distribuição. EUI de Fonte é medido em milhares de unidades térmicas britânicas (kBtu) por pé quadrado.","Source Energy Use Intensity (EUI) is a property's Source Energy Use divided by its gross floor area. Source Energy Use is the annual energy used to operate the property, including losses from generation, transmission, & distribution. Source EUI is measured in thousands of British thermal units (kBtu) per square foot.",,
EPAPropertyType,"O uso principal de uma propriedade (por exemplo, escritório, loja de varejo). O uso principal é definido como uma função que responde por mais de 50% de uma propriedade. Este é o campo Property Type - EPA Calculated do Portfolio Manager.","The primary use of a property (e.g. office, retail store). Primary use is defined as a function that accounts for more than 50% of a property. This is the Property Type - EPA Calculated field from Portfolio Manager.",,
LargestPropertyUseType,Tipo de uso primário da maior área do edifício.,Primary use type of the largest area in the building.,,
LargestPropertyUseTypeGFA,Área bruta do maior tipo de uso da propriedade.,Gross floor area of the largest property use type.,,
SecondLargestPropertyUseType,Tipo de uso secundário da segunda maior área do edifício.,Secondary use type of the second largest area in the building.,,
SecondLargestPropertyUseTypeGFA,Área bruta do segundo maior tipo de uso da propriedade.,Gross floor area of the second largest property use type.,,
ThirdLargestPropertyUseType,Terceiro tipo de uso no edifício por área,Third use type in the building by area.,,
ThirdLargestPropertyUseTypeGFA,Área bruta do terceiro maior tipo de uso da propriedade.,Gross floor area of the third largest property use type.,,
Electricity(kWh),"A quantidade anual de eletricidade consumida pela propriedade no local, incluindo eletricidade comprada da rede e gerada por sistemas renováveis ​​no local, medida em kWh.","The annual amount of electricity consumed by the property on-site, including electricity purchased from the grid and generated by onsite renewable systems, measured in kWh.",,
SteamUse(kBtu),Consumo anual de vapor em kBtu.,Annual steam usage in kBtu.,,
NaturalGas(therms),"A quantidade anual de gás natural fornecido pela concessionária consumido pela propriedade, medida em termos.","The annual amount of utility-supplied natural gas consumed by the property, measured in therms.",,
EPAPropertyType,Classificação do tipo de propriedade da EPA para o edifício.,EPA property type classification for the building.,,
ComplianceStatus,Se uma propriedade atendeu aos requisitos de referência de energia para o ano de relatório atual.,Whether a property has met energy benchmarking requirements for the current reporting year.,,
ComplianceIssue,"Caso não esteja em conformidade, qual problema o edifício apresentou em 15 de novembro de 2021.","If not compliant, what issue the building had as of November 15, 2021.",,
Electricity(kBtu),"A quantidade anual de eletricidade consumida pela propriedade no local, incluindo eletricidade comprada da rede e gerada por sistemas renováveis ​​no local, medida em milhares de unidades térmicas britânicas (kBtu).","The annual amount of electricity consumed by the property on-site, including electricity purchased from the grid and generated by onsite renewable systems, measured in thousands of British thermal units (kBtu).",,
NaturalGas(kBtu),"A quantidade anual de gás natural fornecido pela concessionária consumido pela propriedade, medida em milhares de unidades térmicas britânicas (kBtu).","The annual amount of utility-supplied natural gas consumed by the property, measured in thousands of British thermal units (kBtu).",,
TotalGHGEmissions,"A quantidade total de emissões de gases de efeito estufa, incluindo dióxido de carbono, metano e gases de óxido nitroso liberados na atmosfera como resultado do consumo de energia na propriedade, medido em toneladas métricas de dióxido de carbono equivalente. Este cálculo usa um fator de emissões de GEE do portfólio de recursos de geração da Seattle CIty Light.","The total amount of greenhouse gas emissions, including carbon dioxide, methane, and nitrous oxide gases released into the atmosphere as a result of energy consumption at the property, measured in metric tons of carbon dioxide equivalent. This calculation uses a GHG emissions factor from Seattle CIty Light's portfolio of generating resources.",,
GHGEmissionsIntensity,"Total de Emissões de Gases de Efeito Estufa dividido pela área bruta do piso da propriedade, medida em quilogramas de dióxido de carbono equivalente por pé quadrado. Este cálculo usa um fator de emissões de GEE do portfólio de recursos de geração da Seattle City Light.","Total Greenhouse Gas Emissions divided by property's gross floor area, measured in kilograms of carbon dioxide equivalent per square foot. This calculation uses a GHG emissions factor from Seattle City Light's portfolio of generating resources.",,
NumberofBuildings,Número total de estruturas na propriedade.,Total number of structures on the property.,,
