DataYear,BuildingName,BuildingType,Latitude,Longitude,Neighborhood,CouncilDistrictCode,YearBuilt,NumberofFloors,PropertyGFATotal,PropertyGFABuilding(s),PropertyGFAParking,ENERGYSTARScore,SiteEUIWN(kBtu/sf),SiteEUI(kBtu/sf),SiteEnergyUse(kBtu),SiteEnergyUseWN(kBtu),SourceEUIWN(kBtu/sf),SourceEUI(kBtu/sf),LargestPropertyUseType,LargestPropertyUseTypeGFA,Electricity(kWh),SteamUse(kBtu),NaturalGas(therms),EPAPropertyType,ComplianceStatus,ComplianceIssue,Electricity(kBtu),NaturalGas(kBtu),TotalGHGEmissions,GHGEmissionsIntensity,NumberofBuildings
2019,HOLIDAY INN - SEATTLE,NonResidential,47.62001,-122.34274,LAKE UNION,7.0,2000,7,150453,115718,34735,92.0,60.4,60.7,6988562.0,7025278.0,114.7,115.6,Hotel,115718.0,1004827.0,12048202.094594594,35968.0,Hotel,Compliant,No Issue,3428470.0,3596807.0,212.2,1.8,
2019,FAIRFIELD INN,NonResidential,47.62025,-122.34314,LAKE UNION,1.0,1997,6,116300,88100,28200,86.0,63.4,63.4,5610892.0,5610892.0,121.7,121.7,Hotel,88490.0,817084.0,12048202.094594594,28230.0,Hotel,Compliant,No Issue,2787892.0,2823000.0,167.1,1.9,
2019,HOMEWOOD SUITES HOTEL - SEATTLE,NonResidential,47.62023,-122.35951,MAGNOLIA / QUEEN ANNE,1.0,1998,6,155602,118858,36744,94.0,47.0,47.6,7318056.0,7399314.0,95.8,97.3,Hotel,155602.0,1233435.0,12048202.094594594,31908.0,Hotel,Compliant,No Issue,4208480.0,3190833.0,195.4,1.6,
2019,SEATTLE HEBREW ACADEMY,NonResidential,47.63442,-122.30793,EAST,1.0,1911,3,56072,56072,0,54.0,65.1,63.3,3650135.0,3548614.0,85.4,83.5,K-12 School,56072.0,160107.0,12048202.094594594,30023.0,K-12 School,Compliant,No Issue,546284.0,3002330.0,162.8,2.9,
2019,PROVIDENCE MT ST VINCENT,NonResidential,47.55837,-122.37751,SOUTHWEST,1.0,1922,5,371257,296313,74944,35.0,164.4,162.2,48732556.0,48054288.0,238.3,235.9,Senior Care Community,296355.0,3259200.0,12048202.094594594,369339.0,Senior Care Community,Compliant,No Issue,11120390.0,36933897.0,2030.1,6.9,
2019,SEATTLE WATERFRONT MARRIOTT,NonResidential,47.61069,-122.34653,DOWNTOWN,1.0,2003,8,254273,215473,38800,35.0,107.1,107.4,27230572.0,27302520.0,198.0,198.8,Hotel,254273.0,3664155.0,12048202.094594594,148004.0,Hotel,Compliant,No Issue,12502097.0,14800423.0,863.1,4.0,
2019,FOSS HOME AND VILLAGE,NonResidential,47.72426,-122.35599,NORTHWEST,5.0,1970,2,93397,93397,0,1.0,180.5,181.4,16859162.0,16942646.0,300.9,301.8,Senior Care Community,93397.0,1741145.0,12048202.094594594,110019.0,Senior Care Community,Compliant,No Issue,5940787.0,11001859.0,620.9,6.6,
2019,SCCA - ALLIANCE HOUSE,NonResidential,47.61988,-122.33211,LAKE UNION,1.0,2008,6,84103,63371,20732,98.0,47.7,47.5,3020655.0,3012965.0,104.6,104.5,Hotel,63371.0,578839.0,12048202.094594594,10380.0,Hotel,Compliant,No Issue,1974998.0,1037967.0,67.3,1.1,
2019,ARBOR HEIGHTS ELEMENTARY SCHOOL (SPS-DISTRICT),SPS-District K-12,47.5097,-122.37759,SOUTHWEST,1.0,2016,3,78972,78972,0,97.0,22.3,22.4,2020176.0,2029770.0,36.6,36.4,K-12 School,90763.0,343143.0,12048202.094594594,8590.0,K-12 School,Compliant,No Issue,1170805.0,858965.0,52.8,0.7,
2019,POLYCLINIC MEDICAL OFFICE (NORTH & SOUTH),NonResidential,47.61244,-122.3214,EAST,1.0,1965,3,329489,179014,150475,61.0,96.2,95.9,17212696.0,17164508.0,189.4,189.1,Medical Office,179014.0,2650250.0,12048202.094594594,81219.0,Medical Office,Compliant,No Issue,9042653.0,8121855.0,487.1,2.7,
2019,SORRENTO HOTEL,NonResidential,47.60898,-122.32693,EAST,3.0,1908,7,76631,76631,0,75.0,88.9,88.8,6810728.0,6806784.0,148.5,149.3,Hotel,76631.0,718636.0,12048202.094594594,43548.0,Hotel,Compliant,No Issue,2451985.0,4354799.0,246.4,3.2,
2019,CITY PLACE III (Obidos/Rufus),NonResidential,47.62424,-122.33646,LAKE UNION,1.0,2010,5,438093,287367,150726,91.0,52.5,52.6,15096982.0,15112635.0,131.1,131.2,Office,247882.0,3654643.0,12048202.094594594,26430.0,Office,Compliant,No Issue,12469642.0,2642993.0,217.2,0.8,
2019,MARRIOTT RESIDENCE INN,NonResidential,47.62642,-122.33325,LAKE UNION,1.0,1990,7,282863,238097,44766,72.0,80.3,79.7,19175140.0,19025074.0,148.1,147.4,Hotel,238793.0,2550695.0,12048202.094594594,103221.0,Hotel,Compliant,No Issue,8702971.0,10322101.0,601.9,2.5,
2019,BAGLEY WRIGHT THEATER - SEATTLE CENTER,Nonresidential COS,47.62141,-122.35086,MAGNOLIA / QUEEN ANNE,1.0,1962,1,91213,91213,0,72.97791381968165,103.2,102.2,6710224.0,6643328.0,209.3,208.0,Other,65000.0,1027116.0,2910560.0,22504.475928677562,Other,Compliant,No Issue,3504520.0,2247779.528766311,176.3,1.9,
2019,ARMORY - SEATTLE CENTER,Nonresidential COS,47.62141,-122.35086,MAGNOLIA / QUEEN ANNE,1.0,1938,5,396085,396085,0,72.97791381968165,49.6,49.5,13817245.0,13790256.0,97.3,97.2,Other,278500.0,1921034.0,7235690.0,22504.475928677562,Other,Compliant,No Issue,6554568.0,2247779.528766311,425.1,1.1,
2019,CITY PLACE IV (Ruby/Dawson),NonResidential,47.62112,-122.33629,LAKE UNION,7.0,2010,12,571329,571329,0,88.0,59.2,59.2,37007820.0,37007820.0,147.7,147.7,Office,598801.0,8953699.0,12048202.094594594,64578.0,Office,Compliant,No Issue,30550021.0,6457797.0,531.3,0.9,
2019,EXHIBITION HALL - SEATTLE CENTER,Nonresidential COS,47.62395,-122.35143,MAGNOLIA / QUEEN ANNE,1.0,1962,2,52000,52000,0,72.97791381968165,68.8,68.2,3781674.0,3749896.0,151.6,150.9,Social/Meeting Hall,54981.0,695119.0,1376730.0,22504.475928677562,Social/Meeting Hall,Compliant,No Issue,2371746.0,2247779.528766311,87.8,1.7,
2019,MCCAW HALL - SEATTLE CENTER,Nonresidential COS,47.62395,-122.35143,MAGNOLIA / QUEEN ANNE,1.0,1928,2,262048,262048,0,72.97791381968165,69.2,68.9,20471548.0,20400130.0,147.9,147.0,Performing Arts,296000.0,3598159.0,5690960.0,4881.0,Performing Arts,Compliant,No Issue,12276919.0,488070.0,404.1,1.5,
2019,KCTS 9,NonResidential,47.62391,-122.34837,MAGNOLIA / QUEEN ANNE,7.0,1986,2,66240,63888,2352,72.97791381968165,73.8,73.8,4104100.0,4104100.0,206.6,206.6,Office,45900.0,1202843.0,12048202.094594594,22504.475928677562,Office,Compliant,No Issue,4104100.0,2247779.528766311,25.3,0.4,
2019,BILL & MELINDA GATES FOUNDATION,NonResidential,47.62419,-122.34443,MAGNOLIA / QUEEN ANNE,1.0,2010,6,920598,616891,303707,82.0,51.9,52.4,38198728.0,38563992.0,117.3,118.3,Office,729584.0,7791851.0,12048202.094594594,119782.0,Office,Compliant,No Issue,26585796.0,11978198.0,800.0,1.3,
2019,SCRIPPS BUILDING - 221 FIRST AVENUE WEST,NonResidential,47.62053,-122.35842,MAGNOLIA / QUEEN ANNE,1.0,1970,4,76213,50283,25930,70.0,59.6,59.7,3037215.0,3040440.0,139.2,139.3,Office,48546.0,654137.0,12048202.094594594,8085.0,Office,Compliant,No Issue,2231915.0,808525.0,56.7,1.1,
2019,THE MEDITERRANEAN INN,NonResidential,47.62291,-122.35708,MAGNOLIA / QUEEN ANNE,1.0,2002,6,127200,81560,45640,72.0,65.7,66.2,5359433.0,5396104.0,118.3,119.6,Hotel,79696.0,684619.0,12048202.094594594,30602.0,Hotel,Compliant,No Issue,2335920.0,3060185.0,176.9,2.2,
2019,UNIVERSITY INN,NonResidential,47.65772,-122.31756,NORTHEAST,1.0,1962,4,71403,60953,10450,37.0,86.0,85.8,5244086.0,5228876.0,148.1,147.8,Hotel,52953.0,589270.0,12048202.094594594,32183.0,Hotel,Compliant,No Issue,2010588.0,3218288.0,183.3,3.0,
2019,PATHFINDER/COOPER SCHOOL (SPS-DISTRICT),SPS-District K-12,47.5636,-122.358,DELRIDGE NEIGHBORHOODS,1.0,1999,3,75364,75364,0,78.0,30.8,30.4,2320871.0,2294123.0,71.3,70.6,K-12 School,75364.0,487919.0,12048202.094594594,6293.0,K-12 School,Compliant,No Issue,1664781.0,629342.0,43.7,0.6,
2019,ST JOSEPH K-8 SCHOOL,NonResidential,47.62548,-122.30828,EAST,1.0,1923,3,67743,67743,0,26.0,50.3,49.6,3405044.0,3362014.0,90.8,90.2,K-12 School,67743.0,431869.0,12048202.094594594,18885.0,K-12 School,Compliant,No Issue,1473537.0,1888476.0,109.4,1.6,
2019,THE 2100 BUILDING,NonResidential,47.58408,-122.30125,SOUTHEAST,1.0,2003,3,99433,63681,35752,51.0,83.4,82.9,5308034.0,5278960.0,233.4,232.1,Office,63681.0,1547175.0,12048202.094594594,22504.475928677562,Office,Compliant,No Issue,5278961.0,2247779.528766311,32.5,0.5,
2019,MUIR ELEMENTARY SCHOOL(SPS-DISTRICT),SPS-District K-12,47.57324,-122.29058,SOUTHEAST,1.0,1991,2,60725,60725,0,47.0,34.5,34.0,2094302.0,2065346.0,96.6,95.2,K-12 School,60725.0,605318.0,12048202.094594594,22504.475928677562,K-12 School,Compliant,No Issue,2065346.0,2247779.528766311,12.7,0.2,
2019,MERCER MIDDLE (SPS-DISTRICT),SPS-District K-12,47.56413,-122.31208,GREATER DUWAMISH,1.0,1957,1,130862,130862,0,45.0,58.8,57.4,8187186.0,8000900.0,91.2,89.5,K-12 School,139310.0,680045.0,12048202.094594594,56806.0,K-12 School,Compliant,No Issue,2320312.0,5680587.0,316.0,2.4,
2019,ORCA AT WHITWORTH ELEMENTARY SCHOOL (SPS-DISTRICT),SPS-District K-12,47.55478,-122.27596,SOUTHEAST,2.0,1989,3,59955,59955,0,72.0,26.4,26.4,1580610.0,1583226.0,68.8,69.0,K-12 School,59955.0,414512.0,12048202.094594594,1689.0,K-12 School,Compliant,No Issue,1414316.0,168910.0,17.7,0.3,
2019,MCCLURE MIDDLE (SPS-DISTRICT),SPS-District K-12,47.63683,-122.35896,MAGNOLIA / QUEEN ANNE,1.0,1964,2,93218,93218,0,69.0,34.8,34.2,3246242.0,3187231.0,64.5,63.8,K-12 School,93218.0,436132.0,12048202.094594594,16991.0,K-12 School,Compliant,No Issue,1488084.0,1699147.0,99.4,1.1,
2019,CENTURYLINK: LAKEVIEW MAIN,NonResidential,47.67524,-122.31534,NORTHEAST,1.0,1941,4,56521,56521,0,72.97791381968165,103.4,103.4,5064914.0,5064914.0,289.4,289.4,Other,49000.0,1484441.0,12048202.094594594,22504.475928677562,Other,Compliant,No Issue,5064913.0,2247779.528766311,31.2,0.6,
2019,ROOSEVELT SQUARE,NonResidential,47.67559,-122.31769,NORTHEAST,1.0,1929,2,228385,128315,100070,91.0,123.8,124.4,16017432.0,16102757.0,315.8,317.6,Supermarket/Grocery Store,129396.0,4050157.0,12048202.094594594,22836.0,Supermarket/Grocery Store,Not Compliant,Default Data,13819136.0,2283620.0,206.5,1.6,
2019,BROADVIEW THOMSON K-8 (SPS-DISTRICT),SPS-District K-12,47.72463,-122.35315,NORTHWEST,1.0,1963,2,131013,131013,0,86.0,38.4,38.8,5060124.0,5121278.0,64.6,65.1,K-12 School,131909.0,538155.0,12048202.094594594,32851.0,K-12 School,Compliant,No Issue,1836186.0,3285092.0,185.8,1.4,
2019,INGRAHAM HIGH (SPS-DISTRICT),SPS-District K-12,47.7257,-122.33684,NORTHWEST,1.0,1959,1,245587,245587,0,86.0,45.2,45.8,11641419.0,11794550.0,70.8,71.5,K-12 School,257634.0,1008926.0,12048202.094594594,83521.0,K-12 School,Compliant,No Issue,3442456.0,8352095.0,464.8,1.9,
2019,B F DAY ELEMENTARY (SPS-DISTRICT),SPS-District K-12,47.65464,-122.34912,LAKE UNION,1.0,1991,3,66588,66588,0,100.0,6.6,6.6,437900.0,437900.0,18.4,18.4,K-12 School,66588.0,128341.0,12048202.094594594,22504.475928677562,K-12 School,Compliant,No Issue,437900.0,2247779.528766311,2.7,0.15333333333333335,
2019,HUGHES ELEMENTARY SCHOOL (SPS-DISTRICT),SPS-District K-12,47.53284,-122.37493,DELRIDGE NEIGHBORHOODS,1.0,1926,3,44324,44324,0,72.97791381968165,33.7,33.2,1594661.0,1569847.0,64.9,64.3,K-12 School,47307.0,233703.0,12048202.094594594,7725.0,K-12 School,Compliant,No Issue,797395.0,772452.0,45.9,1.0,
2019,ALEXIS HOTEL,NonResidential,47.6048,-122.3368,DOWNTOWN,1.0,1904,5,190980,190980,0,99.0,33.6,33.4,6411578.0,6384354.0,77.5,77.1,Hotel,169037.0,1344107.0,12048202.094594594,17983.0,Hotel,Compliant,No Issue,4586093.0,1798262.0,123.8,0.6,
2019,BENAROYA HALL,Nonresidential COS,47.60804,-122.3367,DOWNTOWN,1.0,1998,6,174000,174000,0,72.97791381968165,97.4,97.3,16790196.0,16778070.0,207.0,207.7,Performing Arts,163031.0,2880901.0,6424176.0,5243.0,Mixed Use Property,Compliant,No Issue,9829634.0,524261.0,430.0,2.5,
2019,SWEDISH MEDICAL CENTER BALLARD - CAMPUS,Campus,47.66737,-122.37956,BALLARD,1.0,1954,5,451526,302661,148865,37.0,181.9,205.2,60765742.666666664,62111064.0,360.8,392.4,Hospital (General Medical & Surgical),302661.0,8966823.0,12048202.094594594,315163.0,Hospital (General Medical & Surgical),Compliant,No Issue,30594800.0,31516266.0,1862.4,6.2,
2019,FIRE STATION 10/FAC/EOC,Nonresidential COS,47.60102,-122.32873,DOWNTOWN,1.0,2006,4,61156,61156,0,72.97791381968165,141.8,141.7,8221598.0,8212558.0,334.8,336.0,Fire Station,30301.0,1817181.0,12048202.094594594,20123.0,Fire Station,Compliant,No Issue,6200222.0,2012337.0,145.1,2.4,
2019,WING LUKE MUSEUM/KONG YICK BLDG.,NonResidential,47.59809,-122.32283,DOWNTOWN,1.0,1910,4,72820,59000,13820,72.97791381968165,26.9,27.0,1559248.0,1564023.0,60.9,61.3,Museum,58000.0,320557.0,12048202.094594594,4703.0,Museum,Compliant,No Issue,1093742.0,470282.0,31.7,0.5,
2019,HAMPTON INN & SUITES,NonResidential,47.62614,-122.3467,MAGNOLIA / QUEEN ANNE,1.0,1996,4,162222,148022,14200,96.0,59.2,59.2,6730553.0,6730553.0,103.6,103.6,Hotel,113702.0,789482.0,12048202.094594594,40368.0,Hotel,Compliant,No Issue,2693712.0,4036841.0,231.0,1.6,
2019,FRANKLIN HIGH SCHOOL (SPS-DISTRICT),SPS-District K-12,47.57589,-122.29365,SOUTHEAST,1.0,1990,4,289588,289588,0,90.0,28.4,28.4,8231488.0,8215748.0,64.0,63.6,K-12 School,289588.0,1641631.0,12048202.094594594,26145.0,K-12 School,Compliant,No Issue,5601245.0,2614504.0,173.4,0.6,
2019,SOUTH SEATTLE COLLEGE - CAMPUS MASTER ID,Campus,47.547,-122.35307,DELRIDGE NEIGHBORHOODS,1.0,1970,2,529343,529343,0,72.97791381968165,93.1,91.5,49273204.0,48431696.0,162.0,160.1,College/University,529343.0,5673310.0,12048202.094594594,290744.0,College/University,Compliant,No Issue,19357334.0,29074362.0,1663.5,3.1,
2019,SEATTLE CHILDREN'S HOSPITAL (ADMIN BLDG),NonResidential,47.67836,-122.26442,NORTHEAST,1.0,2002,2,96300,96300,0,72.97791381968165,142.9,142.2,13893527.0,13827044.0,321.1,320.4,Office,92300.0,2786110.0,12048202.094594594,43208.0,Office,Compliant,No Issue,9506207.0,4320838.0,288.1,3.0,
2019,CSC Vehicle Maintenance (E),Nonresidential COS,47.59545,-122.32146,GREATER DUWAMISH,1.0,1950,1,67356,67356,0,72.97791381968165,91.8,89.7,6222142.0,6075822.0,145.3,142.7,"Repair Services (Vehicle, Shoe, Locksmith, etc)",67772.0,551180.0,12048202.094594594,41952.0,"Repair Services (Vehicle, Shoe, Locksmith, etc)",Compliant,No Issue,1880627.0,4195195.0,234.4,3.5,
2019,GARFIELD HIGH (SPS-DISTRICT),SPS-District K-12,47.60598,-122.30156,CENTRAL,1.0,2008,3,254523,254523,0,65.0,45.9,45.1,11845060.0,11639719.0,92.9,91.9,K-12 School,258107.0,1923881.0,12048202.094594594,50754.0,K-12 School,Compliant,No Issue,6564282.0,5075436.0,310.0,1.2,
2019,EMERSON ELEMENTARY SCHOOL (SPS-DISTRICT),SPS-District K-12,47.51482,-122.25864,SOUTHEAST,1.0,2001,3,78804,78804,0,56.0,38.4,38.1,3022594.0,3000749.0,80.2,79.9,K-12 School,78804.0,526486.0,12048202.094594594,12044.0,K-12 School,Compliant,No Issue,1796371.0,1204378.0,75.0,1.0,
2019,MADRONA SCHOOL (SPS-DISTRICT),SPS-District K-12,47.61224,-122.29087,CENTRAL,1.0,2002,3,66994,66994,0,56.0,37.3,37.1,2542864.0,2530562.0,91.6,90.8,K-12 School,68127.0,591382.0,12048202.094594594,5128.0,K-12 School,Compliant,No Issue,2017795.0,512767.0,39.7,0.6,
2019,VAN ASSELT ELEMENTARY @ AAA  (SPS-DISTRICT),SPS-District K-12,47.52915,-122.28904,GREATER DUWAMISH,1.0,2000,3,98357,98357,0,70.0,37.2,36.9,3658208.0,3625330.0,74.7,74.4,K-12 School,98357.0,587802.0,12048202.094594594,16197.0,K-12 School,Compliant,No Issue,2005581.0,1619749.0,98.4,1.0,
2019,UNION GOSPEL MISSION ASSN / HOPE PLACE,NonResidential,47.53722,-122.284,GREATER DUWAMISH,2.0,2009,5,89821,89821,0,72.97791381968165,56.1,55.4,4990718.0,4932238.0,60.3,59.6,Other - Lodging/Residential,46483.0,20980.0,12048202.094594594,48607.0,Other - Lodging/Residential,Compliant,No Issue,71583.0,4860655.0,258.6,2.9,
2019,SEATTLE PACIFIC UNIVERSITY - Otto Miller Hall,NonResidential,47.65147,-122.36122,MAGNOLIA / QUEEN ANNE,1.0,1980,2,52611,52611,0,72.97791381968165,82.6,81.6,4348180.0,4291862.0,167.9,166.8,College/University,52611.0,715072.0,12048202.094594594,18520.0,College/University,Compliant,No Issue,2439827.0,1852035.0,113.4,2.2,
2019,"EMERSON HALL, SEATTLE PACIFIC UNIVERSITY",Multifamily LR (1-4),47.65068,-122.36331,MAGNOLIA / QUEEN ANNE,7.0,2001,4,139600,102100,37500,89.0,32.7,32.1,4430252.0,4347682.0,66.7,65.7,Residence Hall/Dormitory,135520.0,727672.0,12048202.094594594,18649.0,Multifamily LR (1-4),Compliant,No Issue,2482816.0,1864865.0,114.4,1.1,
2019,NATHAN HALE HIGH (SPS-DISTRICT),SPS-District K-12,47.70763,-122.29453,NORTH,1.0,2011,2,236758,236758,0,87.0,28.2,28.4,6830402.0,6874403.0,58.1,58.3,K-12 School,242134.0,1155235.0,12048202.094594594,29327.0,K-12 School,Compliant,No Issue,3941662.0,2932740.0,180.1,0.8,
2019,GREENWOOD ELEMENTARY (SPS-DISTRICT),SPS-District K-12,47.68725,-122.35996,NORTHWEST,6.0,2002,3,62526,62526,0,66.0,37.4,36.7,2341330.0,2297326.0,75.9,74.9,K-12 School,62526.0,380121.0,12048202.094594594,10004.0,K-12 School,Compliant,No Issue,1296974.0,1000352.0,61.1,1.0,
2019,WEBSTER ST BUILDING (CEDAR GROVE),NonResidential,47.536,-122.31768,GREATER DUWAMISH,1.0,2007,3,64015,64015,0,52.0,38.5,38.3,2335228.0,2320154.0,95.0,94.8,Office,24419.0,554153.0,12048202.094594594,4294.0,Mixed Use Property,Compliant,No Issue,1890771.0,429383.0,34.5,0.5,
2019,NORTHGATE MALL SHOPPING CENTER RETAIL STORES  - ACTIVE/PRIMARY ID,Campus,47.70759,-122.3255,NORTH,5.0,1951,1,530039,530039,0,98.0,40.1,39.7,21262552.0,21052848.0,80.4,80.0,Retail Store,505103.0,3400518.0,12048202.094594594,94503.0,Retail Store,Compliant,No Issue,11602567.0,9450280.0,573.4,1.1,
2019,SEATTLE CHILDREN'S HOSPITAL  (MAIN CAMPUS),Campus,47.66231,-122.28146,NORTHEAST,1.0,1953,10,879000,879000,0,17.0,277.4,278.1,248949136.0,249530384.0,496.5,500.3,Hospital (General Medical & Surgical),897371.0,31313220.0,12048202.094594594,1426897.0,Hospital (General Medical & Surgical),Compliant,No Issue,106840707.0,142689662.0,8236.9,9.4,
2019,Verity Credit Union,NonResidential,47.70956,-122.3345,NORTHWEST,1.0,1996,3,55442,39017,16425,75.0,85.0,85.7,3167791.0,3193814.0,175.6,176.3,Financial Office,28636.0,539037.0,12048202.094594594,13546.0,Financial Office,Compliant,No Issue,1839194.0,1354620.0,83.3,2.1,
2019,BALLARD HIGH (SPS-DISTRICT),SPS-District K-12,47.67661,-122.37489,BALLARD,1.0,1999,2,242795,242795,0,75.0,33.5,33.3,8353497.0,8304872.0,83.5,82.8,K-12 School,249693.0,2002036.0,12048202.094594594,14739.0,K-12 School,Compliant,No Issue,6830947.0,1473925.0,120.4,0.5,
2019,NORTH SEATTLE COLLEGE - CAMPUS,Campus,47.69936,-122.33401,NORTHWEST,1.0,1970,2,694072,582447,111625,72.97791381968165,57.0,56.5,37236728.0,36879840.0,136.8,135.9,College/University,653167.0,8383088.0,12048202.094594594,82767.0,College/University,Compliant,No Issue,28603096.0,8276744.0,615.9,1.1,
2019,AKI KUROSE MIDDLE (SPS-DISTRICT),SPS-District K-12,47.54632,-122.28198,SOUTHEAST,1.0,1952,2,173185,173185,0,76.0,42.3,41.5,7328251.0,7182038.0,60.2,59.3,K-12 School,173185.0,457709.0,12048202.094594594,56203.0,K-12 School,Compliant,No Issue,1561704.0,5620333.0,308.1,1.8,
2019,BOREN STEM K-8 (SPS-DISTRICT),SPS-District K-12,47.54862,-122.36214,DELRIDGE NEIGHBORHOODS,1.0,1963,1,145341,145341,0,76.0,43.9,42.9,5675643.0,5536906.0,69.0,67.7,K-12 School,129213.0,491338.0,12048202.094594594,38605.0,K-12 School,Compliant,No Issue,1676446.0,3860460.0,215.4,1.5,
2019,RAINIER BEACH HIGH SCHOOL (SPS-DISTRICT),SPS-District K-12,47.52407,-122.26586,SOUTHEAST,2.0,1960,2,184125,184125,0,79.0,39.5,38.8,7235920.0,7107880.0,67.8,67.1,K-12 School,183357.0,809813.0,12048202.094594594,43448.0,K-12 School,Compliant,No Issue,2763082.0,4344798.0,247.8,1.3,
2019,WHITMAN MIDDLE (SPS-DISTRICT),SPS-District K-12,47.69675,-122.3776,BALLARD,1.0,1959,1,160270,160270,0,92.0,33.5,32.5,5816479.0,5648360.0,48.4,47.3,K-12 School,173750.0,383511.0,12048202.094594594,43398.0,K-12 School,Compliant,No Issue,1308541.0,4339819.0,238.6,1.5,
2019,WESTWOOD VILLAGE - BLDG A,NonResidential,47.52254,-122.36627,DELRIDGE NEIGHBORHOODS,1.0,1966,1,64984,64984,0,80.0,37.7,37.9,2469489.0,2478122.0,93.2,93.4,Retail Store,65425.0,587429.0,12048202.094594594,4738.0,Retail Store,Compliant,No Issue,2004308.0,473814.0,37.5,0.6,
2019,WESTWOOD VILLAGE - BLDG B,NonResidential,47.52254,-122.36627,DELRIDGE NEIGHBORHOODS,1.0,1965,1,67745,67745,0,14.0,137.5,136.7,9321179.0,9267325.0,205.5,205.3,Retail Store,67782.0,700554.0,12048202.094594594,68770.0,Retail Store,Compliant,No Issue,2390289.0,6877036.0,380.0,5.6,
